DateTime,Positive_reviews,Negative_reviews,Source
2023-06-06,46,32,WDL
2023-06-07,32,38,WDL
2023-06-08,45,25,WDL
2023-06-09,45,25,WDL
2023-06-10,43,19,WDL
2023-06-11,0,0,WDL
2023-06-12,21,20,WDL
2023-06-13,16,13,WDL
2023-06-14,13,13,WDL
2023-06-15,15,15,WDL
2023-06-16,0,0,WDL
2023-06-17,14,17,WDL
2023-06-18,13,10,WDL
2023-06-19,6,13,WDL
2023-06-20,11,4,WDL
2023-06-21,13,9,WDL
2023-06-22,0,0,WDL
2023-06-23,14,8,WDL
2023-06-24,9,4,WDL
2023-06-25,10,10,WDL
2023-06-26,11,7,WDL
2023-06-27,0,0,WDL
2023-06-28,3,5,WDL
2023-06-29,5,4,WDL
2023-06-30,0,0,WDL
2023-07-01,0,0,WDL
2023-07-02,20,19,WDL
2023-07-03,10,14,WDL
2023-07-04,0,0,WDL
2023-07-05,0,0,WDL
2023-07-06,0,0,WDL
2023-07-07,53,43,WDL
2023-07-08,12,17,WDL
2023-07-09,0,0,WDL
2023-07-10,0,0,WDL
2023-07-11,40,21,WDL
2023-07-12,10,25,WDL
2023-07-13,0,0,WDL
2023-07-14,13,2,WDL
2023-07-15,17,6,WDL
2023-07-16,14,11,WDL
2023-07-17,0,0,WDL
2023-07-18,14,5,WDL
2023-07-19,7,9,WDL
2023-07-20,7,8,WDL
2023-07-21,0,0,WDL
2023-07-22,7,7,WDL
2023-07-23,6,8,WDL
2023-07-24,3,10,WDL
2023-07-25,10,5,WDL
2023-07-26,0,0,WDL
2023-07-27,16,11,WDL
2023-07-28,18,14,WDL
2023-07-29,0,0,WDL
2023-07-30,0,0,WDL
2023-07-31,0,0,WDL
2023-08-01,66,54,WDL
2023-08-02,12,14,WDL
2023-08-03,17,9,WDL
2023-08-04,0,0,WDL
2023-08-05,14,10,WDL
2023-08-06,8,10,WDL
2023-08-07,6,11,WDL
2023-08-08,0,0,WDL
2023-08-09,8,4,WDL
2023-08-10,7,5,WDL
2023-08-11,9,5,WDL
